一	ggll
共	aw
芒	ayn
亚	go
芝	ap
朽	sgn
朴	sh
机	sw
权	sc
过	fp
臣	ahnh
吏	gkr
再	gmf
协	few
西	sghg
压	dfy
厌	dd
戌	dg
在	dhf
百	dj
有	de
存	dhb
而	dmj
页	dm
匠	ar
夸	dfn
夺	df
灰	do
达	dp
列	gqj
死	gqx
成	dn
夹	gud
夷	gxw
轨	lv
邪	ahtb
尧	atgq
划	aj
迈	gqp
毕	xxf
至	gcf
此	hx
贞	hm
师	jgmh
尘	if
尖	id
劣	ite
光	igq
当	iv
早	jhnh
吁	kgf
吐	kf
吓	kgh
虫	jhny
曲	ma
团	lft
吕	kk
同	mgk
吊	kmh
吃	ktn
因	ld
吸	kby
吗	kcg
吆	kx
屿	mgng
屹	mtn
岁	mq
帆	mhwy
回	lk
岂	mn
则	mj
刚	mrj
网	mrr
肉	mww
年	tg
朱	tf
先	tfq
丢	tfc
廷	tfp
舌	td
竹	thth
迁	tfp
乔	tdj
迄	tnp
伟	wfnh
传	wfny
乒	rt
乓	ry
休	ws
伍	wg
伏	wd
优	wdny
臼	ethg
伐	wa
延	thnp
仲	wkh
件	wtg
任	wtf
伤	wte
价	wwj
伦	wwx
份	wwv
华	wxf
仰	wqb
仿	wy
伙	wo
伪	wyey
自	th
伊	wvt
血	tl
向	tmk
似	wnyw
后	rgk
行	tgs
舟	tu
全	wg
会	wfc
杀	rs
合	wgk
兆	qi
企	wh
众	www
爷	wrb
伞	wuf
创	wbj
肌	ew
肋	ee
朵	ws
杂	vs
危	qdb
旬	qj
旨	xj
旭	vj
负	qm
匈	qrb
名	qk
各	tk
多	qq
争	qvh
色	qc
壮	uf
冲	ukh
妆	uv
冰	ui
庄	of
庆	od
亦	yo
刘	yj
齐	yj
交	ur
衣	ye
次	uqw
产	ut
决	unw
亥	yntw
充	ycq
妄	ynv
闭	uft
问	uk
闯	ucg
羊	uyth
并	ua
关	ud
米	oyty
灯	os
州	ytyh
汗	if
污	ifn
江	ia
汛	inf
池	ib
汝	iv
汤	inr
忙	nyn
兴	igw
宇	pgf
守	pf
宅	pta
字	pb
安	pv
讲	yfj
讳	yfnh
军	pl
讶	yaht
许	ytf
讹	ywx
论	ywx
讼	ywc
农	pe
讽	ywr
设	ywc
访	yy
诀	ynw
寻	vf
那	ngb
迅	nfp
尽	nyu
导	nf
异	na
弛	xb
孙	bi
阵	bl
阳	bj
收	nht
阶	bwj
阴	be
防	by
奸	vf
如	vk
妇	vv
妃	vn
好	vb
她	vb
妈	vcg
戏	ca
羽	nnyg
观	cmq
欢	cqw
买	nud
红	xa
驮	cgd
纤	xtf
驯	cgk
约	xqy
级	xby
纪	xn
驰	cgb
纫	xvy
巡	vp
寿	dtf
弄	ga
麦	gt
玖	gqy
玛	gcg
形	gae
进	fjp
戒	aa
吞	gdk
远	fqp
违	fnhp
韧	fnhy
运	fcp
扶	rg
抚	rfq
坛	ffc
技	rfc
坏	fdh
抠	rar
扰	rdny
扼	rdb
拒	ran
找	ra
批	rxx
址	fh
扯	rh
走	fh
抄	rit
贡	am
汞	ai
坝	fm
攻	at
赤	fo
折	rr
抓	rrhy
扳	rrc
抡	rwx
扮	rwv
抢	rwb
孝	ftb
坎	fqw
均	fqu
抑	rqb
抛	rve
投	rwc
坟	fy
坑	fyw
抗	ryw
坊	fy
抖	ruf
护	ryn
壳	fpw
志	fn
块	fnw
扭	rnhg
声	fn
把	rc
报	rbc
拟	rnyw
却	fcb
抒	rcnh
劫	fce
芙	ag
芜	afq
苇	afnh
芽	aaht
花	awx
芹	ar
芥	awj
芬	awv
苍	awb
芳	ay
严	got
芦	ayn
芯	an
劳	ape
克	dq
芭	ac
苏	aew
杆	sf
杠	sa
杜	sf
材	sft
村	sf
杖	sdy
杏	sk
杉	se
巫	aww
极	sby
李	sb
杨	snr
求	giy
甫	sghy
匣	al
更	gjr
束	sk
吾	gk
豆	gku
两	gmww
酉	sg
丽	gmyy
医	atd
辰	dfe
励	dgqe
否	dhk
还	dhp
尬	dnwj
歼	gqtf
来	gus
连	lp
轩	lf
步	hh
卤	hlr
坚	jcf
肖	ie
旱	jf
盯	hs
呈	kg
时	jf
吴	kgd
助	ege
县	egc
里	jf
呆	ks
吱	kfc
吠	kd
呕	kar
园	lfq
旷	jo
围	lfnh
呀	kaht
吨	kgbn
足	kh
邮	mb
男	le
困	ls
吵	kit
串	kkh
员	km
呐	kmw
听	kr
吟	kwyn
吩	kwv
呛	kwb
吻	kqr
吹	kqw
呜	ktng
吭	kyw
吧	kc
邑	kc
吼	kbn
囤	lgbn
别	kej
吮	kcq
岖	mar
岗	mmr
帐	mhty
财	mft
针	qf
钉	qs
牡	cf
告	tfk
我	trny
乱	tdn
利	tj
秃	tw
秀	tb
私	tc
每	tx
兵	rw
估	wd
体	wsg
何	wsk
佐	wda
佑	wdk
但	wjg
伸	wjh
佃	wl
作	wthf
伯	wr
伶	wwyc
佣	we
低	wqay
你	wqi
住	wyg
位	wu
伴	wug
身	tmdt
皂	ra
伺	wngk
佛	wxj
囱	tlq
近	rp
彻	tav
役	twc
返	rcp
余	wgs
希	rdmh
坐	wwf
谷	wwk
妥	ev
含	wynk
邻	wycb
岔	wvm
肝	ef
肛	ea
肚	ef
肘	ef
肠	enr
龟	qjn
甸	ql
免	qkq
狂	qtg
犹	qtdy
狈	qtm
角	qe
删	mmgj
条	ts
彤	mye
卵	qyty
灸	qyo
岛	qm
刨	qnj
迎	qbp
饭	qnrc
饮	qnqw
系	txi
言	yyyy
冻	uai
状	ud
亩	yl
况	ukq
床	os
库	ol
庇	oxx
疗	ub
吝	yk
应	oig
这	yp
冷	uwyc
庐	oyn
序	ocnh
辛	uygh
弃	yca
冶	uck
忘	ynn
闰	ug
闲	us
间	uj
闷	un
判	ugj
兑	ukq
灶	of
灿	om
灼	oqy
弟	uxht
汪	ig
沐	is
沛	igmh
汰	idy
沥	ide
沙	iit
汽	ir
沃	itd
沦	iwx
汹	irb
泛	itp
沧	iwb
没	iwc
沟	iqc
沪	iyn
沈	ipq
沉	ipw
沁	in
怀	ndh
忧	ndny
忱	npq
快	nnw
完	pfq
宋	ps
宏	pdc
牢	ptg
究	pwv
穷	pwe
灾	po
良	yv
证	ygh
启	ynk
评	yguf
补	puh
初	puv
社	pyf
祀	pyn
识	ykw
诈	ythf
诉	yry
罕	pwf
诊	ywe
词	yngk
译	ycg
君	vtk
灵	vo
即	vb
层	nfc
屁	nxx
尿	ni
尾	ne
迟	nyp
局	nnk
改	nt
张	xtay
忌	nn
际	bfi
陆	bgb
阿	bsk
陈	bai
阻	beg
附	bwf
坠	bwf
妓	vfc
妙	vit
妖	vtd
姊	vtnt
妨	vy
妒	vyn
努	vce
忍	vyn
劲	cae
矣	ctd
鸡	cqg
纬	xfnh
驱	cgar
纯	xgbn
纱	xit
纲	xmr
纳	xmw
驳	cgrr
纵	xww
纷	xwv
纸	xqa
纹	xy
纺	xy
驴	cgyn
纽	xnhg
奉	dwg
玩	gfq
环	gdh
武	gahy
青	ge
责	gm
现	gmq
玫	gt
表	ge
规	gmq
抹	rgs
卦	ffh
坷	fsk
坯	fdhg
拓	rd
拢	rdxy
拔	rdcy
坪	fguf
拣	ranw
坦	fjg
担	rjg
坤	fjh
押	rl
抽	rm
拐	rke
拖	rtb
者	ftj
拍	rr
顶	sdm
拆	rry
拎	rwyc
拥	re
抵	rqay
拘	rqk
势	rvye
抱	rqn
拄	ryg
垃	fu
拉	ru
拦	rud
幸	fuf
拌	rug
拧	rps
拂	rxj
拙	rbm
招	rvk
坡	fb
披	rb
拨	rnty
择	rcg
抬	rck
拇	rx
拗	rxe
其	dw
取	bc
茉	ags
苦	ad
昔	aj
苛	ask
若	adk
茂	ad
苹	aguf
苗	al
英	amd
苟	aqk
苑	aqb
苞	aqn
范	aib
直	fh
茁	abm
茄	aek
茎	aca
苔	ack
茅	acnt
枉	sg
林	ss
枝	sfc
杯	sdh
枢	sar
柜	san
枚	st
析	sr
板	src
松	swc
枪	swb
枫	swr
构	sqc
杭	syw
杰	so
述	syp
枕	spq
丧	fue
或	akg
画	glb
卧	ahnh
事	gkvh
刺	smj
枣	smu
雨	fghy
卖	fnud
郁	deb
矾	dwy
矿	do
码	dcg
厕	dmj
奈	dfi
奔	dfa
奇	dsk
奋	dl
态	dyn
欧	arqw
殴	arwc
垄	dxyf
妻	gvhv
轰	lcc
顷	xdm
转	lfny
斩	lr
轮	lwx
软	lqw
到	gcfj
非	hdhd
叔	hic
歧	hfc
肯	he
齿	hwb
些	hxf
卓	hj
虎	hw
虏	he
肾	jce
贤	jcm
尚	imk
旺	jg
具	hw
味	kf
果	js
昆	jxx
国	lgy
哎	kar
咕	kd
昌	jj
呵	ksk
畅	jhnr
明	je
易	jqr
咙	kdxy
昂	jqb
迪	mp
典	maw
固	ld
忠	khn
呻	kjh
咒	kkw
咋	kthf
咐	kwf
呼	ktuf
鸣	kqg
咏	kyni
呢	knx
咄	kbm
咖	kek
岸	mdf
岩	md
帖	mhhk
罗	lq
帜	mhkw
帕	mhr
岭	mwyc
凯	mnw
败	mt
账	mtay
贩	mrc
贬	mtp
购	mqc
贮	mpg
图	ltu
钓	qqy
制	tgmj
知	tdk
迭	tgp
氛	rwv
垂	tfa
牧	ct
物	cqr
乖	tfux
刮	tdj
秆	tf
和	tk
季	tb
委	tv
秉	tv
佳	wff
侍	wff
岳	rm
供	waw
使	wgkr
例	wgqj
侠	wgud
侥	watq
版	thgc
侄	wgcf
侦	whm
侣	wkk
侧	wmj
凭	wtfw
侨	wtdj
佩	wwgh
货	wxm
侈	wqq
依	wye
卑	rtf
的	rqy
迫	rp
质	rfm
欣	rqw
征	tgh
往	tyg
爬	rhyc
彼	tb
径	tca
所	rnr
舍	wfk
金	qqqq
刹	rsj
命	wgkb
肴	rde
斧	wrr
爸	wrc
采	es
觅	emq
受	epc
乳	ebn
贪	wynm
念	wynn
贫	wvm
忿	wvn
肤	eg
肺	egmh
肢	efc
肿	ekh
胀	etay
朋	ee
股	ewc
肮	eyw
肪	ey
肥	ec
服	ebc
胁	eew
周	mfk
昏	qaj
鱼	qg
兔	qkqy
狐	qtry
忽	qrn
狗	qtqk
狞	qtps
备	tl
饰	qnth
饱	qnqn
饲	qnnk
变	yoc
京	yi
享	yb
庞	odxy
店	ohk
夜	ywty
庙	om
府	owf
底	oqay
疟	uag
疙	utn
疚	uqy
剂	yjj
卒	ywwf
郊	urb
庚	ovw
废	onty
净	uqvh
盲	ynh
放	yt
刻	yntj
育	yce
氓	ynna
闸	ul
闹	uymh
郑	udb
券	ugv
卷	ugb
单	ujf
炬	oan
炒	oit
炊	oqw
炕	oyw
炎	oo
炉	oyn
沫	igs
浅	iga
法	ifc
泄	ian
沽	id
河	isk
沾	ihk
泪	ih
沮	ieg
油	im
泊	ir
沿	iwk
泡	iqn
注	iyg
泣	iu
泞	ips
泻	ipgg
泌	int
泳	iyni
泥	inx
沸	ixj
沼	ivk
波	ib
泼	inty
泽	icg
治	ick
怔	ngh
怯	nfc
怖	ndmh
性	ntg
怕	nr
怜	nwyc
怪	ncf
怡	nck
学	ipb
宝	pgy
宗	pfi
定	pgh
宠	pdxy
宜	peg
审	pjh
宙	pm
官	pn
空	pwa
帘	pwmh
宛	pqb
实	pud
试	yaay
郎	yvb
诗	yff
肩	yne
房	yny
诚	ydn
衬	puf
衫	pue
视	pymq
祈	pyr
话	ytd
诞	ythp
诡	yqdb
询	yqj
该	yynw
详	yu
建	vgp
肃	vhjw
录	vi
隶	vi
帚	vpmh
屉	nan
居	nd
届	nm
刷	nmhj
屈	nbm
弧	xrcy
弥	xqi
弦	xyx
承	bdi
孟	bl
陋	bgmn
陌	bdj
孤	brcy
陕	bgud
降	btg
函	bib
限	bv
妹	vf
姑	vd
姐	veg
姓	vtg
妮	vnx
始	vck
姆	vx
迢	vkp
驾	ekcg
叁	cdd
参	cde
艰	cv
线	xga
练	xanw
组	xeg
绅	xjh
细	xl
驶	cgkr
织	xkw
驹	cgqk
终	xtu
驻	cgyg
绊	xug
驼	cgpx
绍	xvk
绎	xcg
经	xca
贯	xm
契	dhvd
贰	afmy
奏	dwgd
春	dwj
帮	dtbh
玷	ghk
珍	gwe
玲	gwyc
珊	gmmg
玻	gb
毒	gx
型	gajf
拭	raay
挂	rff
封	fff
持	rff
拷	rftn
拱	raw
项	adm
垮	fdfn
挎	rdfn
城	fdn
挟	rgud
挠	ratq
政	ght
赴	fhh
赵	fhr
挡	riv
拽	rjnt
哉	fak
挺	rtfp
括	rtd
垢	frgk
拴	rwg
拾	rwgk
挑	rqi
垛	fws
指	rxj
垫	rvyf
挣	rqvh
挤	ryj
拼	rua
挖	rpwn
按	rpv
挥	rpl
挪	rngb
拯	rbig
某	fs
甚	dwn
荆	agaj
茸	ab
革	af
茬	adhf
荐	adhb
巷	awn
带	gkph
草	aj
茧	aj
茵	ald
茶	aws
荒	aynk
茫	aiyn
荡	ainr
荣	aps
荤	apl
荧	apo
故	dt
胡	de
荫	abe
荔	aeee
南	fmuf
药	axqy
标	sfi
栈	sga
柑	sf
枯	sd
柄	sgmw
栋	sai
相	sh
查	sjg
柏	sr
栅	smmg
柳	sqtb
柱	syg
柿	symh
栏	sud
柠	sps
树	scf
勃	fpbe
要	sv
柬	sl
咸	dgk
威	dgv
歪	dhgh
研	dga
砖	dfny
厘	djf
厚	djb
砌	dav
砂	dit
泵	di
砚	dmq
砍	dqw
面	dljf
耐	dmjf
耍	dmjv
牵	dptg
鸥	arqg
残	gqga
殃	gqmd
轴	lm
轻	lca
鸦	ahtg
皆	xxr
韭	hdhg
背	uxe
战	hka
点	hko
虐	hag
临	jtyj
览	jtyq
竖	jcu
省	ith
削	iej
尝	ipfc
昧	jf
盹	hgbn
是	jgh
盼	hwv
眨	htp
哇	kff
哄	kaw
哑	kgo
显	jo
冒	jh
映	jmd
星	jtg
昨	jthf
咧	kgqj
昭	jvk
畏	lge
趴	khw
胃	le
贵	khgm
界	lwj
虹	ja
虾	jgh
蚁	jyr
思	ln
蚂	jcg
虽	kj
品	kkk
咽	kld
骂	kkcg
勋	kme
哗	kwxf
咱	kth
响	ktmk
哈	kwgk
哆	kqq
咬	kur
咳	kynw
咪	ko
哪	kngb
哟	kxqy
炭	mdo
峡	mgud
罚	lyj
贱	mga
贴	mhk
贻	mck
骨	me
幽	mxx
钙	qghn
钝	qgbn
钞	qit
钟	qkh
钢	qmr
钠	qmw
钥	qe
钦	qqw
钧	qqu
钩	qqc
钮	qnhg
卸	tghb
缸	tfba
拜	rdf
看	rh
矩	tdan
毡	ehk
氢	rca
怎	thfn
牲	ctg
选	tfqp
适	tdp
秒	tit
香	tj
种	tkh
秋	to
科	tuf
重	tgjf
复	tjt
竿	tf
段	thdc
便	wgjr
俩	wgmw
贷	waym
顺	kdm
修	whte
俏	wie
保	wks
促	wkh
俄	wtry
俐	wtj
侮	wtx
俭	wwgg
俗	wwwk
俘	web
信	wy
皇	rg
泉	ri
鬼	rqc
侵	wvpc
禹	tkmy
侯	wntd
追	tnp
俊	wcwt
盾	rfh
待	tff
徊	tlk
衍	tigs
律	tvg
很	tv
须	edm
叙	wgsc
剑	wgij
逃	qip
食	wyv
盆	wvl
胚	edhg
胧	edxy
胆	ejg
胜	etg
胞	eqn
胖	eug
脉	eyni
胎	eck
勉	qkqe
狭	qtgd
狮	qtjh
独	qtj
狰	qtqh
狡	qtur
狱	qtyd
狠	qtv
贸	qyvm
怨	qbn
急	qvn
饵	qnb
饶	qnaq
蚀	qnj
饺	qnur
饼	qnua
峦	yom
弯	yox
将	uqf
奖	uqd
哀	ye
亭	yps
亮	ypw
度	oac
迹	yop
庭	otfp
疮	uwb
疯	uwr
疫	uwc
疤	uc
咨	uqwk
姿	uqwv
亲	us
音	uj
帝	yuph
施	ytb
闺	uff
闻	ub
闽	uj
阀	uwa
阁	utk
差	ua
养	ugj
美	ugd
姜	ugv
叛	ugrc
送	udp
类	od
迷	op
籽	ob
娄	ov
前	uej
首	uth
逆	ubtp
兹	uxx
总	ukn
炼	oanw
炸	othf
烁	otni
炮	oqn
炫	oyx
烂	oud
剃	uxhj
洼	iff
洁	ifk
洪	iaw
洒	is
柒	ias
浇	iatq
浊	ij
洞	imgk
测	imj
洗	itfq
活	itd
派	ire
洽	iwgk
染	ivs
洛	itk
浏	iyj
济	iyj
洋	iu
洲	iyth
浑	ipl
浓	ipe
津	ivg
恃	nff
恒	ngjg
恢	ndo
恍	nigq
恬	ntd
恤	ntl
恰	nwgk
恼	nyrb
恨	nv
举	igwg
觉	ipmq
宣	pgjg
宦	pahh
室	pgcf
宫	pkk
宪	ptfq
突	pwd
穿	pwat
窃	pwav
客	ptk
诫	yaa
冠	pfqf
诬	yaww
语	ygk
扁	ynma
袄	putd
祖	pyeg
神	pyjh
祝	pykq
祠	pynk
误	ykgd
诱	ytb
诲	ytx
说	yukq
诵	yce
垦	vf
退	vp
既	vaq
屋	ngcf
昼	nyjg
屏	nua
屎	no
费	xjm
陡	bfh
逊	bip
眉	nh
孩	bynw
陨	bkm
除	bwgs
险	bwgg
院	bpfq
娃	vff
姥	vftx
姨	vgxw
姻	vld
娇	vtdj
姚	vqi
娜	vngb
怒	vcn
架	eks
贺	ekm
盈	bcl
勇	cee
怠	ckn
癸	wgd
蚤	cyj
柔	cnhs
垒	cccf
绑	xdtb
绒	xad
结	xfk
绕	xatq
骄	cgtj
绘	xwfc
给	xwgk
绚	xqj
骆	cgtk
络	xtk
绝	xqc
绞	xur
骇	cgyw
统	xycq
耕	fsfj
耘	fsfc
耗	fse
耙	fsc
艳	dhqc
泰	dwi
秦	dwt
珠	gtf
班	gytg
素	gxi
匿	aadk
蚕	gdj
顽	fqdm
盏	gal
匪	ahdd
捞	rape
栽	fas
捕	rs
埂	fgjr
捂	rgk
振	rdfe
载	fal
赶	fhf
起	fhn
盐	fhl
捎	rie
捍	rjf
捏	rjf
埋	fjf
捉	rkh
捆	rls
捐	rke
损	rkm
袁	fke
捌	rkej
都	ftjb
哲	rrk
逝	rrp
捡	rwgg
挫	rwwf
换	rqmd
挽	rqkq
挚	rvyr
热	rvyo
恐	awyn
捣	rqm
壶	fpo
捅	rce
埃	fctd
挨	rctd
耻	bh
耿	bo
耽	bpq
聂	bcc
恭	awn
莽	ada
莱	agus
莲	alp
莫	ajd
莉	atj
荷	awsk
获	aqtd
晋	goj
恶	gon
莹	apgy
莺	apqg
真	fhw
框	sag
梆	sdtb
桂	sff
桔	sfk
栖	ss
档	siv
桐	smgk
株	stf
桥	stdj
桦	swxf
栓	swg
桃	sqi
格	stk
桩	sof
校	sur
核	synw
样	su
根	sv
索	fpxi
哥	sksk
速	skp
逗	gkup
栗	ss
贾	sm
酌	sgqy
配	sgn
翅	fcn
辱	dfef
唇	dfek
夏	dht
砸	damh
砰	dguf
砾	dtni
础	dbm
破	db
原	dri
套	dd
逐	gep
烈	gqjo
殊	gqtf
殉	gqqj
顾	dbdm
轿	ltdj
较	lur
顿	gbnm
毙	xxgx
致	gcft
柴	hxs
桌	hjs
虑	hn
监	jtyl
紧	jcxi
党	ipkq
逞	kgp
晒	js
眠	hna
晓	jatq
哮	kftb
唠	kape
鸭	lqg
晃	jigq
哺	ks
晌	jtmk
剔	jqrj
晕	jpl
蚌	jdh
畔	lug
蚣	jwc
蚊	jy
蚪	juf
蚓	jxh
哨	kie
哩	kjf
圃	ls
哭	kkd
哦	ktry
恩	ldn
鸯	mdqg
唤	kqmd
唁	ky
哼	kyb
唧	kvb
啊	kbsk
唉	kctd
唆	kcwt
罢	lfc
峭	mie
峨	mtry
峰	mtdh
圆	lkm
峻	mcwt
贼	mad
贿	mde
赂	mtk
赃	mof
钱	qga
钳	qf
钻	qhk
钾	ql
铁	qtg
铃	qwyc
铅	qwk
缺	tfbw
氧	ru
氨	rpv
特	cff
牺	cs
造	tfkp
乘	tux
敌	tdt
秤	tguf
租	teg
积	tkw
秧	tmd
秩	ttg
称	tqi
秘	tnt
透	tbp
笔	te
笑	ttd
笋	tvt
债	wgm
借	waj
值	wfh
倚	wdsk
俺	wdjn
倾	wxdm
倒	wgcj
倘	wimk
俱	whw
倡	wjj
候	whnd
赁	wtfm
俯	wowf
倍	wuk
倦	wugb
健	wvgp
臭	thd
射	tmdf
躬	tmdx
息	thn
倔	wnbm
徒	tfh
徐	twgs
殷	rvnc
舰	tumq
舱	tuwb
般	tuwc
航	tuyw
途	wgsp
拿	wgkr
耸	wwb
爹	wrqq
舀	ee
爱	epdc
豺	eft
豹	eqy
颁	wvdm
颂	wcdm
翁	wcn
胰	egxw
脆	eqdb
脂	exj
胸	eqrb
胳	etk
脏	eof
脐	eyj
胶	eur
脑	eyrb
脓	epe
逛	qtgp
狸	qtjf
狼	qtyv
卿	qtvb
逢	tdhp
鸵	qgpx
留	qyvl
鸳	qbqg
皱	qvb
饿	qnty
馁	qnev
凌	ufwt
凄	ugvv
恋	yon
桨	uqs
浆	uqi
衰	ykge
衷	ykhe
高	ymk
郭	ybb
席	oamh
准	uwy
座	owwf
症	ugh
病	ugmw
疾	utd
斋	ydmj
疹	uwe
疼	utu
疲	ub
脊	iwe
效	urt
离	yrbc
紊	yxi
唐	ovhk
瓷	uqwy
资	uqwm
凉	uyi
站	uhk
剖	ukj
竞	ukq
部	ukb
旁	yupy
旅	yte
畜	yxl
阅	uukq
羞	unhg
羔	ugo
瓶	uagy
拳	ugr
粉	owv
料	ouf
益	uwl
兼	uvjw
烤	oftn
烘	oaw
烦	odm
烧	oatq
烛	oj
烟	old
烙	otk
递	uxhp
涛	idtf
浙	irr
涝	iape
浦	is
酒	isg
涉	ihh
消	iie
涡	ikmw
浩	itfk
海	itx
涂	iwgs
浴	iwwk
浮	ieb
涣	iqmd
涤	its
流	iyck
润	iug
涧	iuj
涕	iuxt
浪	iyv
浸	ivpc
涨	ixty
烫	inro
涩	ivyh
涌	ice
悖	nfpb
悟	ngk
悄	nie
悍	njf
悔	ntx
悯	nuy
悦	nukq
害	pdhk
宽	pamq
家	pge
宵	pie
宴	pjv
宾	prw
窍	pwan
窄	pwtf
容	pwwk
宰	pu
案	pvs
请	yge
朗	yve
诸	yftj
诺	yadk
读	yfnd
扇	ynn
诽	yhdd
袜	pugs
袖	pum
袍	puqn
被	pub
祥	pyu
课	yjs
冥	pju
谁	ywy
调	ymfk
冤	pqky
谅	yyi
谆	yyb
谈	yoo
谊	ypeg
剥	vij
恳	vn
展	nae
剧	ndj
屑	nie
弱	xuxu
陵	bfwt
祟	bmfi
陶	bqtb
陷	bqe
陪	buk
娱	vkgd
娟	vke
恕	vkn
娥	vtry
娘	vyv
通	cep
能	cexx
难	cwy
预	cnhm
桑	cccs
绢	xke
绣	xtb
验	cgwg
继	xon
骏	cgct
球	ggiy
琐	gim
理	gjf
琉	gyck
琅	gyv
捧	rdwg
堵	fftj
措	raj
描	ral
域	fakg
捺	rdfi
掩	rdjn
捷	rgvh
排	rhdd
焉	ghgo
掉	rhj
捶	rtfa
赦	fot
堆	fwy
推	rwy
埠	ftnf
掀	rrqw
授	repc
捻	rwyn
教	ftbt
掏	rqtb
掐	rqe
掠	ryi
掂	rohk
培	fuk
接	ruv
掷	rudb
控	rpwa
探	rpws
据	rnd
掘	rnbm
掺	rcde
职	bkw
基	dwf
聆	bwyc
勘	dwne
聊	bqtb
娶	bcv
著	aftj
菱	afwt
勒	afe
黄	amw
菲	ahdd
萌	aje
萝	alq
菌	alt
萎	atv
